,N_agents,l,Run,n,k,worst_agent,average_agent,top_agent,run_id,team_type,Cdiversity,NPdiversity,solution,team
68,10,12,2000,2000,3,82.71041144722417,84.03176100027343,85.01090248430388,1401,best,0.8333333333333334,0.9111111111111111,90.28718727646906,84.89908719637431
69,10,12,2000,2000,3,82.71041144722417,84.03176100027343,85.01090248430388,1401,random,0.8333333333333334,0.9407407407407408,99.9954912561585,84.12787405243269
70,10,12,2000,2000,3,82.71459879093767,83.97194519074726,85.37172556241077,1274,best,0.5,0.8444444444444444,96.10650227501847,85.1704309785294
71,10,12,2000,2000,3,82.71459879093767,83.97194519074726,85.37172556241077,1274,random,1.0,0.9037037037037037,96.1351765484265,84.13509894704015
72,10,12,2000,2000,3,82.72114936902435,84.3660932061774,85.53213554496038,1194,best,0.6666666666666666,0.7925925925925926,94.73312908700912,85.37716586430702
73,10,12,2000,2000,3,82.72114936902435,84.3660932061774,85.53213554496038,1194,random,1.0,0.9037037037037037,95.54192359861715,84.41891298667258
74,10,12,2000,2000,3,82.74602430911645,83.9792307850806,84.93040239379448,1097,best,0.8333333333333334,0.9037037037037037,97.66405554992922,84.90248715048057
75,10,12,2000,2000,3,82.74602430911645,83.9792307850806,84.93040239379448,1097,random,0.8333333333333334,0.8592592592592593,93.73534902127211,83.98347647212833
76,10,12,2000,2000,3,82.75297975080474,84.34214185132444,85.41977301657772,1075,best,0.5833333333333334,0.8814814814814814,99.45670388077045,85.33907033952475
77,10,12,2000,2000,3,82.75297975080474,84.34214185132444,85.41977301657772,1075,random,1.0,0.9185185185185185,91.34878053912578,84.46799551778274
78,10,12,2000,2000,3,82.78475924055756,84.1879818441312,85.24826722982068,1073,best,0.6666666666666666,0.8740740740740741,98.60146472580935,85.15355419755969
79,10,12,2000,2000,3,82.78475924055756,84.1879818441312,85.24826722982068,1073,random,1.0,0.9259259259259259,93.7584241122518,84.3312504589585
80,10,12,2000,2000,3,82.80694819066163,84.1038709412752,85.1551310497737,1278,best,0.5833333333333334,0.837037037037037,74.36149645361844,85.02640488386601
81,10,12,2000,2000,3,82.80694819066163,84.1038709412752,85.1551310497737,1278,random,1.0,0.9333333333333333,73.50943844738518,84.35771082699753
82,10,12,2000,2000,3,82.82040643061131,84.2218419471612,85.34479549590445,1118,best,0.5,0.7925925925925926,71.2379815534399,85.1654298321499
83,10,12,2000,2000,3,82.82040643061131,84.2218419471612,85.34479549590445,1118,random,1.0,0.8962962962962963,95.26182686712659,84.12676793585378
84,10,12,2000,2000,3,82.83673851609359,84.35394400579914,85.40809003931263,1122,best,0.6666666666666666,0.8740740740740741,99.82342218790761,85.31268023046849
85,10,12,2000,2000,3,82.83673851609359,84.35394400579914,85.40809003931263,1122,random,0.9166666666666666,0.9037037037037037,84.69892966389148,84.46886165931978
86,10,12,2000,2000,3,82.84183451991895,84.1946384545131,85.30442906936804,1390,best,0.5833333333333334,0.8074074074074074,96.19604891233224,85.23623439277553
87,10,12,2000,2000,3,82.84183451991895,84.1946384545131,85.30442906936804,1390,random,1.0,0.8740740740740741,99.35350729124877,84.04585820789906
88,10,12,2000,2000,3,82.85408788683438,84.14804388445123,85.17305391889053,1406,best,0.75,0.8814814814814814,77.2140373735996,85.08556424371567
89,10,12,2000,2000,3,82.85408788683438,84.14804388445123,85.17305391889053,1406,random,0.9166666666666666,0.9037037037037037,99.45111172332984,84.27875836007352
90,10,12,2000,2000,3,82.8542453533502,84.095121103028,85.1392549829949,1295,best,0.75,0.9037037037037037,97.62756356550747,84.9705591082294
91,10,12,2000,2000,3,82.8542453533502,84.095121103028,85.1392549829949,1295,random,0.9166666666666666,0.8888888888888888,93.76377073633995,83.97433116774673
92,10,12,2000,2000,3,82.85582503958382,84.25435627446429,85.44696579366769,1408,best,0.8333333333333334,0.8888888888888888,99.6620474840078,85.33139489985932
93,10,12,2000,2000,3,82.85582503958382,84.25435627446429,85.44696579366769,1408,random,1.0,0.9481481481481482,95.69658478112306,84.04811910027242
94,10,12,2000,2000,3,82.85708679448433,84.29861271166203,85.52799084640873,1168,best,0.6666666666666666,0.9185185185185185,99.75422499549198,85.38821931471807
95,10,12,2000,2000,3,82.85708679448433,84.29861271166203,85.52799084640873,1168,random,1.0,0.9111111111111111,93.40955656453427,84.41320484661517
96,10,12,2000,2000,3,82.88752578106391,84.63766156828761,86.49283464387948,1127,best,0.5,0.8222222222222222,98.5809234146209,86.30078222178776
97,10,12,2000,2000,3,82.88752578106391,84.63766156828761,86.49283464387948,1127,random,0.9166666666666666,0.8518518518518519,93.55225988850188,84.55219779008478
98,10,12,2000,2000,3,82.89199079937686,84.15877427312331,85.25006357720314,1479,best,0.4166666666666667,0.7703703703703704,78.95689564652419,85.17063163940523
99,10,12,2000,2000,3,82.89199079937686,84.15877427312331,85.25006357720314,1479,random,1.0,0.9481481481481482,97.01638161277016,84.18561218682296
100,10,12,2000,2000,3,82.90046983285816,84.31701776114548,85.47978877295935,1440,best,0.5833333333333334,0.8666666666666667,94.66911161805736,85.40271081540527
101,10,12,2000,2000,3,82.90046983285816,84.31701776114548,85.47978877295935,1440,random,1.0,0.9333333333333333,94.6369559583515,84.44517892359794
